"","X1","Drone-Mite Survivorship (%)","Forager Lifespan (days)","Queen Strength","Worker to Drone","Worker-Mite Survivorship (%)","Adult Slope Contact","Adult LD50 Contact","Larva slope","Larva LD50","KOW","KOC","Half life"
"X1999","Colony Size",-0.0281628793759659,0.421403424547076,0.819275099634541,-0.0420538889925868,-0.0330581517526473,-0.0150953824727828,0.0251703934708556,-0.0255574337831252,0.148915684928912,-0.00847524376151679,-0.0192979472494193,-0.000121894169971859
"X2000","Colony Size",0.0277605149826139,0.302224657172229,0.407742772574586,0.00340041787377552,-0.386781503255377,-0.0416709110066882,0.0725563991793049,0.0111907610767859,0.0177404725731293,0.065007299667953,0.0312411360605815,0.00966931743946372
"X2001","Colony Size",0.000702788367843107,0.281083555559433,0.373703541787813,0.0129411777552807,-0.313262875547612,-0.0284945871371563,0.0738405503831718,0.00180685916568645,0.0140278761037428,0.0619028361131165,0.0384395536219491,0.0269182806810129
"X2002","Colony Size",-0.0456661562047645,0.24650961727975,0.263687676472369,0.0133527678210634,-0.197120351447429,-0.0253950440267788,0.0247447323097192,-0.0186160277944256,-0.00113180025225594,0.0409449782851393,-0.0052176003237339,0.0185028861377395
"X2003","Colony Size",-0.0365315259667287,0.242864487676822,0.25369680194925,0.0239815434231095,-0.185734187361532,-0.0276293361967502,0.0302999201173522,-0.0117606916763814,0.0106949980699226,0.0336565795454278,0.011429646180277,0.0229669000473007
"X1999.1","Adult Workers",-0.0162132839613071,0.251579063037901,0.805775153331345,-0.0417642653082138,-0.0360636657051028,-0.0461828687610455,0.0467836693449656,-0.030943502324065,0.23031060757494,-0.0235180023628675,-0.0224231459420186,-0.000226463478296731
"X2000.1","Adult Workers",0.0318713769899106,0.290466256232393,0.416548686279506,-0.00134706601220025,-0.392539654722494,-0.0400671753394074,0.0766963942381237,0.0109984790145871,0.015902764596189,0.0679056959856205,0.0332065232576862,0.00863426185334667
"X2001.1","Adult Workers",0.00607619163821885,0.265421459860353,0.374963084250451,0.0142623404916219,-0.318084588313595,-0.0284632522829563,0.0720311671887538,0.00451430153420757,0.0178616231495927,0.0532263043404071,0.0372109298899472,0.0249430906074198
"X2002.1","Adult Workers",-0.0469559229635632,0.242017667900755,0.264738079816676,0.0106201634106334,-0.198651216518694,-0.0194634398185466,0.0244348820621998,-0.018504630833194,-0.00162872695167302,0.0401209659883652,-0.00964738531614753,0.0175844800740164
"X2003.1","Adult Workers",-0.0369593903255246,0.240171160769053,0.255424941491674,0.025075732538935,-0.187756761553131,-0.0233439491565612,0.0314234311942494,-0.0108364364112911,0.00825334850991042,0.0305269143857478,0.00982062795368683,0.0247209140337657
"X1999.2","Foragers",-0.0423959656105634,0.573643705918485,0.794664508405081,-0.0351034436696767,-0.0229930986193511,0.0339425735265689,-0.0120297655801508,-0.0128999314862628,-0.00626443942415399,0.0151806465469606,-0.0109659769422467,0.000122509976209627
"X2000.2","Foragers",0.0201608399913033,0.312218500102537,0.380601458609919,0.0116670485340276,-0.365960409127606,-0.0430027433118763,0.0632812647954061,0.0114829184633591,0.0199890266712374,0.0581968863890879,0.0273322671683965,0.0111034259298023
"X2001.2","Foragers",-0.00503873258556538,0.290184403755985,0.35419020122738,0.01233899264844,-0.290941798895671,-0.0277444663468785,0.0749663259159585,-2.99500475753786e-05,0.00852677863515764,0.0709975603130138,0.0422208270678111,0.0297611166738861
"X2002.2","Foragers",-0.0432940991734647,0.251160608882628,0.259914089560977,0.0173608673674401,-0.193121013136878,-0.034015785275677,0.025006594774921,-0.0185402492571196,-0.000301238699824044,0.041905988902476,0.00156648526885843,0.0197660787393031
"X2003.2","Foragers",-0.0347537690915495,0.242766066419933,0.247139112597506,0.0235821492436796,-0.179556779055873,-0.0333382753513845,0.0288028041008755,-0.0115535030447005,0.0143227332705806,0.0362400721491863,0.0138553109987154,0.019690246511079
"X1999.3","Worker Eggs",-0.0446229311505254,0.55604287593678,0.917066546008332,-0.0526275887704392,-0.0376415026719677,0.0502944959190846,0.00774700466784452,-0.00531109612876435,0.00751162693717512,0.011997824078421,-0.00929050410198809,-0.00898654709615661
"X2000.3","Worker Eggs",0.0245044752424034,0.299838219646538,0.413412485140467,0.00269379956575558,-0.390169339168442,-0.0392529163475695,0.071495881730733,0.0104349747440621,0.0118940059061238,0.0705339001343892,0.0285426280354615,0.00999466359812659
"X2001.3","Worker Eggs",0.00272939399791373,0.249431460550035,0.325301652230747,0.019067375745143,-0.262545444798887,-0.0323663610337106,0.0633484325631312,0.0123588348398782,0.0192632123936978,0.0444588583662889,0.0330275105078098,0.0319951270185818
"X2002.3","Worker Eggs",-0.0474646060895657,0.243456820614435,0.263651446134157,0.0108392693653946,-0.197648599756972,-0.021612252535098,0.0242564325768133,-0.0184770825572438,-0.00245011265461807,0.0401321379625989,-0.00899352400223517,0.0173759110048516
"X2003.3","Worker Eggs",-0.0398654907437135,0.237313846511299,0.24682757663956,0.0295872786365243,-0.182273982084105,-0.0225481832601825,0.0244171683028379,-0.00889418086133372,0.0102253249423113,0.026900212172229,0.012736370480745,0.0200648927955887
"X1999.4","Colony Pollen (g)",0.0330936449668203,0.388094101393856,-0.327250102720303,-0.00168278008107264,-0.00978209273990203,-0.034712478798995,-0.0157949711106173,0.0298231704954244,-0.0899529006994016,0.0518059103873967,-0.0467611394387407,-0.0163722667936769
